(~I ==> ~B) . What is ~B ?	(~I ==> ~B) . What is ~B ?	(~I ==> ~B)	Unknown HELP!
H & H & (A ^ H) & (~D | E) & H & (A ^ H) & ~D & ~D . What is ~D ?	H & (A ^ H) & (~D | E) & ~D . What is ~D ?	H & (A ^ H) & (~D | E) & ~D	True
F & F & F . What is ~F ?	F . What is ~F ?	F	False
(~G & E) & ~A & (~G & E) & ~A & ~A & (F <=> ~G) & (A ==> ~C) & (A ==> ~C) & (F <=> ~G) & (A ==> ~C) . What is ~E ?	(~G & E) & ~A & (F <=> ~G) & (A ==> ~C) . What is ~E ?	(~G & E) & ~A & (F <=> ~G) & (A ==> ~C)	False
(~B & H) & ~D & ~D & (J ==> F) & (G ^ D) & (F & ~B) & (J ==> F) & (F & ~B) . What is ~H ?	(~B & H) & ~D & (J ==> F) & (G ^ D) & (F & ~B) . What is ~H ?	(~B & H) & ~D & (J ==> F) & (G ^ D) & (F & ~B)	False
~B & C & (C <=> ~F) & ~B & C & (H & ~B) & (C <=> ~F) & (H & ~B) & (H & ~B) . What is B ?	~B & C & (C <=> ~F) & (H & ~B) . What is B ?	~B & C & (C <=> ~F) & (H & ~B)	False
A & A & A . What is ~A ?	A . What is ~A ?	A	False
~B & ~B & ~B . What is B ?	~B . What is B ?	~B	False
(I ==> C) & (I ==> C) & (G | I) & (G | I) & (I ==> C) . What is J ?	(I ==> C) & (G | I) . What is J ?	(I ==> C) & (G | I)	Unknown HELP!
H & (I ^ ~J) & (E & B) & ~J & (E & B) & (~A | I) & ~J & H & (~A | I) & (~A | I) . What is I ?	H & (I ^ ~J) & (E & B) & ~J & (~A | I) . What is I ?	H & (I ^ ~J) & (E & B) & ~J & (~A | I)	False
~E & ~E . What is ~E ?	~E . What is ~E ?	~E	True
A . What is A ?	A . What is A ?	A	True
(C | ~F) & (~E & ~H) & (~F <=> ~E) & (~E & ~H) & (~E & ~H) & ~F & ~F & ~F . What is F ?	(C | ~F) & (~E & ~H) & (~F <=> ~E) & ~F . What is F ?	(C | ~F) & (~E & ~H) & (~F <=> ~E) & ~F	False
(I | ~H) & (I | ~H) & (~E | C) & C & (I | ~H) & H & C & H & H . What is H ?	(I | ~H) & (~E | C) & C & H . What is H ?	(I | ~H) & (~E | C) & C & H	True
J & I & J & I & (~F ==> D) & (~F ==> D) & (~B & I) & (D ^ ~B) & (D ^ ~B) & (~B & I) & (~B & I) & J & (~H ==> ~A) & (D ^ ~B) & (~H ==> ~A) . What is I ?	J & I & (~F ==> D) & (~B & I) & (D ^ ~B) & (~H ==> ~A) . What is I ?	J & I & (~F ==> D) & (~B & I) & (D ^ ~B) & (~H ==> ~A)	True
(~H <=> ~B) & H & (~G & ~H) & (~G & ~H) & (~F & ~G) & (~F & ~G) . What is ~E ?	(~H <=> ~B) & H & (~G & ~H) & (~F & ~G) . What is ~E ?	(~H <=> ~B) & H & (~G & ~H) & (~F & ~G)	Contradictory
(B <=> ~J) & ~E & (B <=> ~J) & (C & D) & J & (B <=> ~J) & J & J & ~E . What is C ?	(B <=> ~J) & ~E & (C & D) & J . What is C ?	(B <=> ~J) & ~E & (C & D) & J	True
I & (J ==> ~H) & ~J & (~H ^ D) & (~H ^ D) & (~B ==> ~G) & (~B ==> ~G) & ~J . What is J ?	I & (J ==> ~H) & ~J & (~H ^ D) & (~B ==> ~G) . What is J ?	I & (J ==> ~H) & ~J & (~H ^ D) & (~B ==> ~G)	False
A & ~C & (~A ^ ~H) & A & (~A ^ ~H) & A & (~E <=> ~C) & (~E <=> ~C) & (~E <=> ~C) . What is ~H ?	A & ~C & (~A ^ ~H) & (~E <=> ~C) . What is ~H ?	A & ~C & (~A ^ ~H) & (~E <=> ~C)	True
(~C ^ A) & D & ~F & (D & ~G) & (D & ~G) & (~G <=> I) & (D & ~G) & (~G <=> I) & ~F & D & (~G <=> I) . What is I ?	(~C ^ A) & D & ~F & (D & ~G) & (~G <=> I) . What is I ?	(~C ^ A) & D & ~F & (D & ~G) & (~G <=> I)	True
~D & (H <=> ~C) & (H <=> ~C) & (H <=> ~C) . What is ~H ?	~D & (H <=> ~C) . What is ~H ?	~D & (H <=> ~C)	Unknown HELP!
~D & ~D & ~D . What is D ?	~D . What is D ?	~D	False
(I & E) & (I & E) & (~F & I) & (~F & I) & (I & E) . What is E ?	(I & E) & (~F & I) . What is E ?	(I & E) & (~F & I)	True
G & (F ^ ~D) & (B & F) & (B & F) & (B & F) . What is B ?	G & (F ^ ~D) & (B & F) . What is B ?	G & (F ^ ~D) & (B & F)	True
I . What is I ?	I . What is I ?	I	True
~H & (~I & ~F) & ~H & (~A & H) & (~A & H) . What is ~C ?	~H & (~I & ~F) & (~A & H) . What is ~C ?	~H & (~I & ~F) & (~A & H)	Contradictory
(J | G) & (~E ^ C) & ~F & (C ^ ~F) & (J | G) & (J | G) & ~F & G & G & G . What is ~C ?	(J | G) & (~E ^ C) & ~F & (C ^ ~F) & G . What is ~C ?	(J | G) & (~E ^ C) & ~F & (C ^ ~F) & G	True
~J & (~H & ~J) & (~H & ~J) . What is H ?	~J & (~H & ~J) . What is H ?	~J & (~H & ~J)	False
F & (F <=> ~B) & (~B | ~E) & (F <=> ~B) . What is ~B ?	F & (F <=> ~B) & (~B | ~E) . What is ~B ?	F & (F <=> ~B) & (~B | ~E)	True
~F & (~F & ~H) & (B <=> ~F) & (~F & ~H) & (~F & ~H) & (~H <=> ~E) . What is B ?	~F & (~F & ~H) & (B <=> ~F) & (~H <=> ~E) . What is B ?	~F & (~F & ~H) & (B <=> ~F) & (~H <=> ~E)	True
(C <=> J) & (C <=> J) & (J ^ A) & (J ^ A) & (J ^ A) & ~C & ~C . What is ~J ?	(C <=> J) & (J ^ A) & ~C . What is ~J ?	(C <=> J) & (J ^ A) & ~C	True
J & J . What is J ?	J . What is J ?	J	True
(A & ~E) & (A & ~E) & ~F & ~F & ~F . What is ~F ?	(A & ~E) & ~F . What is ~F ?	(A & ~E) & ~F	True
(A & ~E) & (~D ==> A) & (A & ~E) & (~C | ~D) & (~C | ~D) & (~C | ~D) & (A & ~E) . What is A ?	(A & ~E) & (~D ==> A) & (~C | ~D) . What is A ?	(A & ~E) & (~D ==> A) & (~C | ~D)	True
(B ==> ~C) & ~F & (~J ==> H) & C & ~F & C & (~J ==> H) & (H ^ ~I) & (~J ==> H) & (~I | ~A) & (~I | ~A) & (~I | ~A) . What is ~F ?	(B ==> ~C) & ~F & (~J ==> H) & C & (H ^ ~I) & (~I | ~A) . What is ~F ?	(B ==> ~C) & ~F & (~J ==> H) & C & (H ^ ~I) & (~I | ~A)	True
(G ==> ~J) & B & (G ==> ~J) & B & D & D & (G ==> ~J) & (~B & E) & (~B & E) . What is A ?	(G ==> ~J) & B & D & (~B & E) . What is A ?	(G ==> ~J) & B & D & (~B & E)	Contradictory
(~D <=> A) & ~A . What is ~A ?	(~D <=> A) & ~A . What is ~A ?	(~D <=> A) & ~A	True
~E & (E ^ F) & (E ^ F) & (I ==> E) & ~E & ~E . What is F ?	~E & (E ^ F) & (I ==> E) . What is F ?	~E & (E ^ F) & (I ==> E)	True
J . What is ~J ?	J . What is ~J ?	J	False
(F & H) & G & (F & H) & G & (~E & ~A) & H & H & (~A <=> J) & H . What is A ?	(F & H) & G & (~E & ~A) & H & (~A <=> J) . What is A ?	(F & H) & G & (~E & ~A) & H & (~A <=> J)	False
(D <=> ~B) & B & B & B & (D <=> ~B) . What is ~D ?	(D <=> ~B) & B . What is ~D ?	(D <=> ~B) & B	True
(B & ~D) & (B & ~D) . What is ~E ?	(B & ~D) . What is ~E ?	(B & ~D)	Unknown HELP!
(D ^ A) & ~J & D & D & (G & ~E) & (G & ~E) & D & (D ^ A) & (D ^ A) . What is J ?	(D ^ A) & ~J & D & (G & ~E) . What is J ?	(D ^ A) & ~J & D & (G & ~E)	False
(~D <=> F) & F & (~H <=> ~D) & (~H <=> ~D) & (~D <=> F) . What is F ?	(~D <=> F) & F & (~H <=> ~D) . What is F ?	(~D <=> F) & F & (~H <=> ~D)	True
(J <=> ~H) & (G & ~F) & (C ==> J) & (C ==> J) & (J <=> ~H) & (C ==> J) & E & H & E & E . What is J ?	(J <=> ~H) & (G & ~F) & (C ==> J) & E & H . What is J ?	(J <=> ~H) & (G & ~F) & (C ==> J) & E & H	False
(C & A) & F & (C & A) & F & (C & A) & (D <=> F) . What is ~A ?	(C & A) & F & (D <=> F) . What is ~A ?	(C & A) & F & (D <=> F)	False
(~F ==> I) & (~G | ~F) & ~G & (~F ==> I) & (~G | ~F) & (~G | ~F) . What is ~G ?	(~F ==> I) & (~G | ~F) & ~G . What is ~G ?	(~F ==> I) & (~G | ~F) & ~G	True
B . What is B ?	B . What is B ?	B	True
(~I & G) & (~I & G) & G & (~A | ~F) & (~I & G) & (~F ^ ~I) . What is ~A ?	(~I & G) & G & (~A | ~F) & (~F ^ ~I) . What is ~A ?	(~I & G) & G & (~A | ~F) & (~F ^ ~I)	True
H & (H ==> B) & H & ~A & H & (J & G) & (J & G) & (H ==> B) & (J & G) . What is ~B ?	H & (H ==> B) & ~A & (J & G) . What is ~B ?	H & (H ==> B) & ~A & (J & G)	False
~C . What is C ?	~C . What is C ?	~C	False
H & H . What is H ?	H . What is H ?	H	True
(~D ^ B) & (~D ^ B) & (~D ^ B) & ~C . What is ~C ?	(~D ^ B) & ~C . What is ~C ?	(~D ^ B) & ~C	True
(G & E) & F & (~H ==> C) & F & (E ^ ~H) & F & (E ^ ~H) . What is F ?	(G & E) & F & (~H ==> C) & (E ^ ~H) . What is F ?	(G & E) & F & (~H ==> C) & (E ^ ~H)	True
(~C <=> J) . What is C ?	(~C <=> J) . What is C ?	(~C <=> J)	Unknown HELP!
~J & (D & I) & ~J & (~C | J) & (D & I) & ~J & (D & I) & (I <=> ~A) & (I <=> ~A) . What is ~A ?	~J & (D & I) & (~C | J) & (I <=> ~A) . What is ~A ?	~J & (D & I) & (~C | J) & (I <=> ~A)	True
F . What is F ?	F . What is F ?	F	True
(E ==> ~J) & (~J <=> ~B) & (D ==> ~G) & E & (D ==> ~G) & (D ==> ~G) & D & D & D & E & E . What is E ?	(E ==> ~J) & (~J <=> ~B) & (D ==> ~G) & E & D . What is E ?	(E ==> ~J) & (~J <=> ~B) & (D ==> ~G) & E & D	True
(H & ~B) & (H & ~B) & (H & ~B) . What is ~A ?	(H & ~B) . What is ~A ?	(H & ~B)	Unknown HELP!
(A & D) & I & (F <=> E) & (F <=> E) & (F <=> E) . What is ~A ?	(A & D) & I & (F <=> E) . What is ~A ?	(A & D) & I & (F <=> E)	False
H & H & H . What is H ?	H . What is H ?	H	True
~I . What is I ?	~I . What is I ?	~I	False
(A & ~H) & (B & A) & (~H ==> ~G) & ~D & (~H ==> ~G) & (~H ==> ~G) & (A & ~H) & (~D & J) & (A & ~H) . What is A ?	(A & ~H) & (B & A) & (~H ==> ~G) & ~D & (~D & J) . What is A ?	(A & ~H) & (B & A) & (~H ==> ~G) & ~D & (~D & J)	True
~F & (~I | F) & ~F & (B ^ ~E) & ~F & (~G <=> ~I) & (~G <=> ~I) & (B ^ ~E) & ~J & (~D <=> ~G) & (B ^ ~E) & (~D <=> ~G) & (~I | F) . What is G ?	~F & (~I | F) & (B ^ ~E) & (~G <=> ~I) & ~J & (~D <=> ~G) . What is G ?	~F & (~I | F) & (B ^ ~E) & (~G <=> ~I) & ~J & (~D <=> ~G)	False
E . What is E ?	E . What is E ?	E	True
(~A & F) & I & (~A & F) & ~J & (J | ~A) & (~I | ~G) & (J | ~A) & (~I | ~G) & (~I | ~G) . What is ~J ?	(~A & F) & I & ~J & (J | ~A) & (~I | ~G) . What is ~J ?	(~A & F) & I & ~J & (J | ~A) & (~I | ~G)	True
~C & ~C & (C & B) . What is B ?	~C & (C & B) . What is B ?	~C & (C & B)	Contradictory
(~G & ~J) & (~J | H) & (~G & ~J) & ~J & ~J & (H | I) & ~J & (H | I) & (H | I) . What is G ?	(~G & ~J) & (~J | H) & ~J & (H | I) . What is G ?	(~G & ~J) & (~J | H) & ~J & (H | I)	False
E & E & E . What is E ?	E . What is E ?	E	True
(A ==> ~B) & (~B ==> ~I) & (A ==> ~B) & I & (~B ==> ~I) . What is I ?	(A ==> ~B) & (~B ==> ~I) & I . What is I ?	(A ==> ~B) & (~B ==> ~I) & I	True
(I ==> ~F) & F & (I ==> ~F) . What is ~I ?	(I ==> ~F) & F . What is ~I ?	(I ==> ~F) & F	True
(H <=> ~B) & (H <=> ~B) & ~J & (~D <=> J) & F & ~J & ~J & (~B <=> G) & (~B <=> G) & (~F <=> H) & (~B <=> G) & (~F <=> H) . What is H ?	(H <=> ~B) & ~J & (~D <=> J) & F & (~B <=> G) & (~F <=> H) . What is H ?	(H <=> ~B) & ~J & (~D <=> J) & F & (~B <=> G) & (~F <=> H)	False
F . What is ~F ?	F . What is ~F ?	F	False
~A & (D ^ A) & (H ^ ~J) & (D ^ A) & (D ^ A) & ~A & (~J & ~F) & C & ~A & (~J & ~F) . What is ~J ?	~A & (D ^ A) & (H ^ ~J) & (~J & ~F) & C . What is ~J ?	~A & (D ^ A) & (H ^ ~J) & (~J & ~F) & C	True
(G | E) & ~E & (E <=> ~B) & ~E . What is B ?	(G | E) & ~E & (E <=> ~B) . What is B ?	(G | E) & ~E & (E <=> ~B)	True
A & A & (J ==> G) & (G | ~A) . What is ~G ?	A & (J ==> G) & (G | ~A) . What is ~G ?	A & (J ==> G) & (G | ~A)	False
~B & ~B & ~B . What is J ?	~B . What is J ?	~B	Unknown HELP!
(~C & ~A) & C & (~H <=> ~E) & (~C & ~A) & (~C & ~A) & (~H <=> ~E) & C & C & (~H <=> ~E) . What is ~E ?	(~C & ~A) & C & (~H <=> ~E) . What is ~E ?	(~C & ~A) & C & (~H <=> ~E)	Contradictory
(F | I) & (~A ==> ~E) & ~A & (H ==> ~G) & (H ==> ~G) & ~G & (I ^ ~A) & (I ^ ~A) & (F | I) & (I ^ ~A) & (H ==> ~G) & (~A ==> ~E) & (~A ==> ~E) . What is F ?	(F | I) & (~A ==> ~E) & ~A & (H ==> ~G) & ~G & (I ^ ~A) . What is F ?	(F | I) & (~A ==> ~E) & ~A & (H ==> ~G) & ~G & (I ^ ~A)	True
H & (C ^ H) & (C ^ H) & I & (B | G) & (C ^ H) & (B | G) & I & I & (B | G) . What is ~C ?	H & (C ^ H) & I & (B | G) . What is ~C ?	H & (C ^ H) & I & (B | G)	True
~G & (H ^ ~A) & (H ^ ~A) & (~G ^ D) & (~G ^ D) & ~A & (~J <=> ~G) & ~A & ~A & (~G ^ D) . What is ~D ?	~G & (H ^ ~A) & (~G ^ D) & ~A & (~J <=> ~G) . What is ~D ?	~G & (H ^ ~A) & (~G ^ D) & ~A & (~J <=> ~G)	True
(~G & C) & (C | H) & ~H & (C | H) & (~D <=> ~G) & (C | H) & (~G & C) . What is ~D ?	(~G & C) & (C | H) & ~H & (~D <=> ~G) . What is ~D ?	(~G & C) & (C | H) & ~H & (~D <=> ~G)	True
(G | A) & ~A & (B ==> G) & (B ==> G) & ~A & ~A . What is A ?	(G | A) & ~A & (B ==> G) . What is A ?	(G | A) & ~A & (B ==> G)	False
~F & ~F . What is ~F ?	~F . What is ~F ?	~F	True
A & A & A . What is ~A ?	A . What is ~A ?	A	False
(~F ==> J) & (J ^ C) & (~H & A) & (~F ==> J) & (~H & A) & (~F ==> J) & (E & ~F) & A & A & (~H & A) . What is ~C ?	(~F ==> J) & (J ^ C) & (~H & A) & (E & ~F) & A . What is ~C ?	(~F ==> J) & (J ^ C) & (~H & A) & (E & ~F) & A	True
~B . What is ~B ?	~B . What is ~B ?	~B	True
A & A & A . What is ~A ?	A . What is ~A ?	A	False
~F & ~F . What is F ?	~F . What is F ?	~F	False
H & H & H . What is ~H ?	H . What is ~H ?	H	False
(H ^ G) & (H ^ G) & ~I & (H ^ G) & ~I . What is I ?	(H ^ G) & ~I . What is I ?	(H ^ G) & ~I	False
(B ==> G) & ~B & (B ==> G) & ~B & (H | ~I) & (G & H) & (G & H) & ~B . What is G ?	(B ==> G) & ~B & (H | ~I) & (G & H) . What is G ?	(B ==> G) & ~B & (H | ~I) & (G & H)	True
~J & (G & B) & (G & B) & (~D | G) & ~J & ~J & (G & B) . What is ~J ?	~J & (G & B) & (~D | G) . What is ~J ?	~J & (G & B) & (~D | G)	True
F & F & F . What is F ?	F . What is F ?	F	True
~B & (~D & ~C) & ~B & ~I & (~D & ~C) & ~B & (E ==> H) & (E ==> H) & (~B & E) & (A & ~B) . What is B ?	~B & (~D & ~C) & ~I & (E ==> H) & (~B & E) & (A & ~B) . What is B ?	~B & (~D & ~C) & ~I & (E ==> H) & (~B & E) & (A & ~B)	False
(~H | ~G) & (~H | ~G) & (~H | ~G) & (~G | D) . What is ~D ?	(~H | ~G) & (~G | D) . What is ~D ?	(~H | ~G) & (~G | D)	Unknown HELP!
(F ^ D) & (D | ~E) & (H <=> ~B) & (D | ~E) & ~C & (H <=> ~B) & (H <=> ~B) & (D | ~E) . What is ~F ?	(F ^ D) & (D | ~E) & (H <=> ~B) & ~C . What is ~F ?	(F ^ D) & (D | ~E) & (H <=> ~B) & ~C	Unknown HELP!
(G | C) & (C & H) & C & (F | A) & C & (F | A) & F & (C & H) & (C & H) & F . What is ~H ?	(G | C) & (C & H) & C & (F | A) & F . What is ~H ?	(G | C) & (C & H) & C & (F | A) & F	False
(E & ~J) & (E & ~J) & (~F & ~G) & (E & ~J) & (~F & ~G) & (~F & ~G) & ~I & ~I & ~I & (~H | ~F) & (~H | ~F) & (~H | ~F) . What is F ?	(E & ~J) & (~F & ~G) & ~I & (~H | ~F) . What is F ?	(E & ~J) & (~F & ~G) & ~I & (~H | ~F)	False
(~I | A) & (A ^ ~D) & ~F & ~F & ~F & (A ^ ~D) & (A ^ ~D) . What is ~F ?	(~I | A) & (A ^ ~D) & ~F . What is ~F ?	(~I | A) & (A ^ ~D) & ~F	True
(J ^ G) & (A <=> ~D) & (J ^ G) & D & (~E ^ J) & (A <=> ~D) & (H & ~E) & (~E ^ J) & (~E ^ J) . What is ~J ?	(J ^ G) & (A <=> ~D) & D & (~E ^ J) & (H & ~E) . What is ~J ?	(J ^ G) & (A <=> ~D) & D & (~E ^ J) & (H & ~E)	True
B & (~F <=> H) & (I & ~F) & (~F <=> H) & (I & ~F) & (~F <=> H) & (I & ~F) . What is F ?	B & (~F <=> H) & (I & ~F) . What is F ?	B & (~F <=> H) & (I & ~F)	False
A & (G <=> J) & (J | I) & (I & ~D) & (H | E) & (J | I) & (J | I) & A & (H | E) . What is D ?	A & (G <=> J) & (J | I) & (I & ~D) & (H | E) . What is D ?	A & (G <=> J) & (J | I) & (I & ~D) & (H | E)	False
(~D | H) & (~D | H) & ~I & (I <=> ~A) & (~D | H) & J & (I <=> ~A) . What is I ?	(~D | H) & ~I & (I <=> ~A) & J . What is I ?	(~D | H) & ~I & (I <=> ~A) & J	False
(D | B) & (~F & ~E) & A & (~F & ~E) & (~F & ~E) & ~F & ~F & (D | B) & (D | B) & A & A . What is A ?	(D | B) & (~F & ~E) & A & ~F . What is A ?	(D | B) & (~F & ~E) & A & ~F	True
~F & (~F & ~C) & (~F & ~C) & (~F & ~C) & (~I ^ ~F) & (~C ==> H) & ~F . What is H ?	~F & (~F & ~C) & (~I ^ ~F) & (~C ==> H) . What is H ?	~F & (~F & ~C) & (~I ^ ~F) & (~C ==> H)	True
~H & (~E | H) & (H ==> D) & (~E | H) & (~E | H) . What is ~D ?	~H & (~E | H) & (H ==> D) . What is ~D ?	~H & (~E | H) & (H ==> D)	Unknown HELP!
(~E & ~F) . What is ~F ?	(~E & ~F) . What is ~F ?	(~E & ~F)	True
~E & (~C & ~F) & (~F & D) & ~E & ~E . What is E ?	~E & (~C & ~F) & (~F & D) . What is E ?	~E & (~C & ~F) & (~F & D)	False
(~F ==> ~B) & (~B & G) & (G & ~I) & (~F ==> ~B) & (~F ==> ~B) & (G & ~I) & (G & ~I) . What is ~I ?	(~F ==> ~B) & (~B & G) & (G & ~I) . What is ~I ?	(~F ==> ~B) & (~B & G) & (G & ~I)	True
B & (B & ~G) & (B & ~G) & B & B & (B & ~G) . What is ~G ?	B & (B & ~G) . What is ~G ?	B & (B & ~G)	True
(H <=> F) & I & ~B & (H <=> F) & (~C <=> G) & (~C <=> G) & (F ==> B) & I & (F ==> B) & (F ==> B) . What is ~F ?	(H <=> F) & I & ~B & (~C <=> G) & (F ==> B) . What is ~F ?	(H <=> F) & I & ~B & (~C <=> G) & (F ==> B)	True
D & D & D . What is ~G ?	D . What is ~G ?	D	Unknown HELP!
(E & ~F) . What is ~E ?	(E & ~F) . What is ~E ?	(E & ~F)	False
~E . What is E ?	~E . What is E ?	~E	False
(~C ==> A) & (~I ==> ~F) & (~I ==> ~F) & ~D & (B <=> ~E) & C & (A & ~I) & (A & ~I) & (B <=> ~E) & (A & ~I) & C & (B <=> ~E) & C . What is ~F ?	(~C ==> A) & (~I ==> ~F) & ~D & (B <=> ~E) & C & (A & ~I) . What is ~F ?	(~C ==> A) & (~I ==> ~F) & ~D & (B <=> ~E) & C & (A & ~I)	True
I & (A <=> B) & C & (~H & D) & (~E ==> ~H) & (D ==> C) & (D ==> C) & (~H & D) & (~H & D) . What is ~H ?	I & (A <=> B) & C & (~H & D) & (~E ==> ~H) & (D ==> C) . What is ~H ?	I & (A <=> B) & C & (~H & D) & (~E ==> ~H) & (D ==> C)	True
(F & ~D) & ~D & (F & ~D) & ~D . What is F ?	(F & ~D) & ~D . What is F ?	(F & ~D) & ~D	True
~E & (~C & J) & ~E & ~J & ~E & (~C & J) & (~E <=> ~I) & (~E <=> ~I) & ~J & ~J & (~E <=> ~I) . What is ~E ?	~E & (~C & J) & ~J & (~E <=> ~I) . What is ~E ?	~E & (~C & J) & ~J & (~E <=> ~I)	Contradictory
(B | ~D) & (B | ~D) & ~C & (~I | ~E) & (~D | ~I) . What is ~B ?	(B | ~D) & ~C & (~I | ~E) & (~D | ~I) . What is ~B ?	(B | ~D) & ~C & (~I | ~E) & (~D | ~I)	Unknown HELP!
J & (~D & E) & J & (E <=> ~G) & (E <=> ~G) & (E <=> ~G) & (~J & H) & (~D & E) & (~D & E) & (~J & H) & (~J & H) . What is A ?	J & (~D & E) & (E <=> ~G) & (~J & H) . What is A ?	J & (~D & E) & (E <=> ~G) & (~J & H)	Contradictory
A & (F <=> ~E) & A . What is ~A ?	A & (F <=> ~E) . What is ~A ?	A & (F <=> ~E)	False
E & (~G & ~H) & (~E ^ B) & (~E ^ B) & (~E ^ B) & (C ^ ~G) & (C ^ ~G) & (C ^ ~G) . What is ~H ?	E & (~G & ~H) & (~E ^ B) & (C ^ ~G) . What is ~H ?	E & (~G & ~H) & (~E ^ B) & (C ^ ~G)	True
~A & ~A & ~A . What is A ?	~A . What is A ?	~A	False
H & H & (H & ~D) & (E ^ ~C) & H & ~I . What is ~I ?	H & (H & ~D) & (E ^ ~C) & ~I . What is ~I ?	H & (H & ~D) & (E ^ ~C) & ~I	True
(~C ==> ~E) & (~C ==> ~E) & (~C ==> ~E) & ~E & (~J ==> ~A) & I & (~A <=> ~C) & (~A <=> ~C) & (~J ==> ~A) & I & (~H & ~G) & (~H & ~G) & (~H & ~G) . What is ~E ?	(~C ==> ~E) & ~E & (~J ==> ~A) & I & (~A <=> ~C) & (~H & ~G) . What is ~E ?	(~C ==> ~E) & ~E & (~J ==> ~A) & I & (~A <=> ~C) & (~H & ~G)	True
~G & (E ^ H) & (E ^ H) & (E ^ H) & ~G . What is ~G ?	~G & (E ^ H) . What is ~G ?	~G & (E ^ H)	True
(E ^ H) & (~D & B) & (E ^ H) & (E ^ H) & D & D & D . What is ~H ?	(E ^ H) & (~D & B) & D . What is ~H ?	(E ^ H) & (~D & B) & D	Contradictory
I & (D | ~F) & (D | ~F) & (D | ~F) & I . What is ~I ?	I & (D | ~F) . What is ~I ?	I & (D | ~F)	False
(~A ^ ~G) & (B <=> H) & ~G & (F ^ ~J) & (F ^ ~J) & (F ^ ~J) & (~G <=> B) & J & J & ~G & (~G <=> B) & (~G <=> B) . What is B ?	(~A ^ ~G) & (B <=> H) & ~G & (F ^ ~J) & (~G <=> B) & J . What is B ?	(~A ^ ~G) & (B <=> H) & ~G & (F ^ ~J) & (~G <=> B) & J	True
~J & ~J . What is J ?	~J . What is J ?	~J	False
(~J & D) & (~J & D) & ~D & B & B & (~H <=> ~G) & B & ~D & ~D . What is G ?	(~J & D) & ~D & B & (~H <=> ~G) . What is G ?	(~J & D) & ~D & B & (~H <=> ~G)	Contradictory
(~H <=> ~J) & (A ^ B) & (A ^ B) & ~A & (B & ~H) & (B & ~H) . What is ~A ?	(~H <=> ~J) & (A ^ B) & ~A & (B & ~H) . What is ~A ?	(~H <=> ~J) & (A ^ B) & ~A & (B & ~H)	True
(B <=> ~F) & ~E & (~D | H) & (~F & ~D) & (~D | H) & I & (~G | E) & ~E & I . What is F ?	(B <=> ~F) & ~E & (~D | H) & (~F & ~D) & I & (~G | E) . What is F ?	(B <=> ~F) & ~E & (~D | H) & (~F & ~D) & I & (~G | E)	False
E & ~B & (~H & C) & (~J | D) & (~G <=> ~E) & ~B & (D & ~H) & (~J | D) & (D & ~H) & (D & ~H) . What is ~H ?	E & ~B & (~H & C) & (~J | D) & (~G <=> ~E) & (D & ~H) . What is ~H ?	E & ~B & (~H & C) & (~J | D) & (~G <=> ~E) & (D & ~H)	True
(~F <=> ~A) & (G & ~F) & G & (G & ~F) & G & (~A ==> D) & (~A ==> D) & (~A ==> D) . What is F ?	(~F <=> ~A) & (G & ~F) & G & (~A ==> D) . What is F ?	(~F <=> ~A) & (G & ~F) & G & (~A ==> D)	False
(~A <=> G) & (G ^ ~H) & (~A <=> G) & (~A <=> G) . What is ~C ?	(~A <=> G) & (G ^ ~H) . What is ~C ?	(~A <=> G) & (G ^ ~H)	Unknown HELP!
C & (A & ~D) & (H & ~E) & (A & ~D) . What is ~A ?	C & (A & ~D) & (H & ~E) . What is ~A ?	C & (A & ~D) & (H & ~E)	False
G . What is G ?	G . What is G ?	G	True
I & I & I . What is ~I ?	I . What is ~I ?	I	False
(C | ~A) & (~E & J) & A & (~D | I) & (~E & J) & (~D | I) & (C | ~A) & A & (J ^ ~D) & (J ^ ~D) & (~D | I) . What is I ?	(C | ~A) & (~E & J) & A & (~D | I) & (J ^ ~D) . What is I ?	(C | ~A) & (~E & J) & A & (~D | I) & (J ^ ~D)	True
(C ==> ~F) & (I & G) & (G ^ C) & (G ^ C) & (C ==> ~F) & (C ==> ~F) . What is ~I ?	(C ==> ~F) & (I & G) & (G ^ C) . What is ~I ?	(C ==> ~F) & (I & G) & (G ^ C)	False
D & D & (B & I) & (I <=> ~A) & (I <=> ~A) . What is D ?	D & (B & I) & (I <=> ~A) . What is D ?	D & (B & I) & (I <=> ~A)	True
F & (~C <=> ~F) & (~F & E) & (J ==> ~C) & (~F & E) & F & (~C <=> ~F) & F . What is ~G ?	F & (~C <=> ~F) & (~F & E) & (J ==> ~C) . What is ~G ?	F & (~C <=> ~F) & (~F & E) & (J ==> ~C)	Contradictory
(A <=> J) & (J & I) & (A <=> J) & (J & I) . What is ~J ?	(A <=> J) & (J & I) . What is ~J ?	(A <=> J) & (J & I)	False
(G & J) & (J & ~D) & (~F <=> G) & (J & ~D) & (~F <=> G) & A & (G & J) & (A ==> B) & A & (G & J) . What is ~D ?	(G & J) & (J & ~D) & (~F <=> G) & A & (A ==> B) . What is ~D ?	(G & J) & (J & ~D) & (~F <=> G) & A & (A ==> B)	True
