(~I <=> D) & (~H <=> F) & (~I <=> D) & (~I <=> D) & H & H & (E & ~H) & H & I & (~H <=> F) & (~H <=> F) & (E & ~H) . What is ~E ?	(~I <=> D) & (~H <=> F) & H & (E & ~H) & I . What is ~E ?	(~I <=> D) & (~H <=> F) & H & (E & ~H) & I	Contradictory
(~E <=> F) & (F & B) & E & E & E & (~A <=> ~E) & (~A <=> ~E) & (~A <=> ~E) . What is ~B ?	(~E <=> F) & (F & B) & E & (~A <=> ~E) . What is ~B ?	(~E <=> F) & (F & B) & E & (~A <=> ~E)	Contradictory
E & E & (~I & ~B) & (A ^ ~D) & (~I & ~B) & (~I & ~B) . What is B ?	E & (~I & ~B) & (A ^ ~D) . What is B ?	E & (~I & ~B) & (A ^ ~D)	False
(F <=> C) & (~D ==> H) & (F <=> C) & (C | ~D) & C & (~D ==> H) & (C | ~D) & (C | ~D) & C & (~D ==> H) & (F <=> C) . What is F ?	(F <=> C) & (~D ==> H) & (C | ~D) & C . What is F ?	(F <=> C) & (~D ==> H) & (C | ~D) & C	True
(B <=> A) & (~E & B) & B & (C ==> ~F) & (~J <=> ~E) & (~J <=> ~E) & F & (B <=> A) & (B <=> A) & (~E & B) & (~E & B) . What is B ?	(B <=> A) & (~E & B) & B & (C ==> ~F) & (~J <=> ~E) & F . What is B ?	(B <=> A) & (~E & B) & B & (C ==> ~F) & (~J <=> ~E) & F	True
I & (A ==> ~I) & (H & ~G) & (A ==> ~I) & (H & ~G) . What is G ?	I & (A ==> ~I) & (H & ~G) . What is G ?	I & (A ==> ~I) & (H & ~G)	False
(I <=> A) & ~H & (~G ^ C) & (~G ^ C) & ~H . What is G ?	(I <=> A) & ~H & (~G ^ C) . What is G ?	(I <=> A) & ~H & (~G ^ C)	Unknown HELP!
(H & J) & (G ^ H) & (~I ^ G) & ~H & (H & J) & (G ^ H) & (H & J) . What is H ?	(H & J) & (G ^ H) & (~I ^ G) & ~H . What is H ?	(H & J) & (G ^ H) & (~I ^ G) & ~H	Contradictory
F & F & (~F <=> ~G) & (H | ~F) & (H | ~F) & (H | ~F) . What is ~F ?	F & (~F <=> ~G) & (H | ~F) . What is ~F ?	F & (~F <=> ~G) & (H | ~F)	False
~A & ~A & ~A . What is ~A ?	~A . What is ~A ?	~A	True
~J & ~J & ~J & (J & ~A) & ~E & (~H ==> J) & (~H ==> J) & (B ^ E) & ~E & ~E & (B ^ E) . What is ~J ?	~J & (J & ~A) & ~E & (~H ==> J) & (B ^ E) . What is ~J ?	~J & (J & ~A) & ~E & (~H ==> J) & (B ^ E)	Contradictory
~A & ~A & ~A . What is A ?	~A . What is A ?	~A	False
~G & ~G & ~G . What is ~G ?	~G . What is ~G ?	~G	True
~I & ~I & ~I . What is I ?	~I . What is I ?	~I	False
(~B <=> ~E) & (~B <=> ~E) & I & I & (H <=> D) & A & (~B <=> ~E) & (H <=> D) . What is I ?	(~B <=> ~E) & I & (H <=> D) & A . What is I ?	(~B <=> ~E) & I & (H <=> D) & A	True
(~C & ~F) & (~C & ~F) . What is F ?	(~C & ~F) . What is F ?	(~C & ~F)	False
~D & ~D . What is D ?	~D . What is D ?	~D	False
(~H & ~G) & (~I & ~J) & ~J & (D ==> ~H) & (D ==> ~H) & (~I & ~J) & (~I & ~J) & (D ==> ~H) . What is G ?	(~H & ~G) & (~I & ~J) & ~J & (D ==> ~H) . What is G ?	(~H & ~G) & (~I & ~J) & ~J & (D ==> ~H)	False
H . What is H ?	H . What is H ?	H	True
F & (~C & A) & (~D ^ ~C) & (~D ^ ~C) & (~D ^ ~C) . What is ~C ?	F & (~C & A) & (~D ^ ~C) . What is ~C ?	F & (~C & A) & (~D ^ ~C)	True
~H & (~B ==> ~I) & ~H & (~A & ~B) & (F <=> H) & (~I <=> ~G) & (~I <=> ~G) & ~G & (~A & ~B) & ~G . What is B ?	~H & (~B ==> ~I) & (~A & ~B) & (F <=> H) & (~I <=> ~G) & ~G . What is B ?	~H & (~B ==> ~I) & (~A & ~B) & (F <=> H) & (~I <=> ~G) & ~G	False
J & (G & ~H) & (B ^ A) & (B ^ A) & ~F & (B ^ A) . What is I ?	J & (G & ~H) & (B ^ A) & ~F . What is I ?	J & (G & ~H) & (B ^ A) & ~F	Unknown HELP!
(~A ==> I) & (I & D) & J & J & (I & D) . What is J ?	(~A ==> I) & (I & D) & J . What is J ?	(~A ==> I) & (I & D) & J	True
(~H & D) & (~H & D) & D & ~F & (G | ~B) & (G | ~B) . What is ~D ?	(~H & D) & D & ~F & (G | ~B) . What is ~D ?	(~H & D) & D & ~F & (G | ~B)	False
(~I | H) & (~I | H) & (~I | H) & (F ==> B) & (F ==> B) & ~G & ~G & (H ^ J) & ~C & (H ^ J) & (H ^ J) . What is ~C ?	(~I | H) & (F ==> B) & ~G & (H ^ J) & ~C . What is ~C ?	(~I | H) & (F ==> B) & ~G & (H ^ J) & ~C	True
(H ==> ~F) & C & E & (G ^ E) & C & (H ==> ~F) & (H ==> ~F) & E & E . What is ~E ?	(H ==> ~F) & C & E & (G ^ E) . What is ~E ?	(H ==> ~F) & C & E & (G ^ E)	False
G . What is G ?	G . What is G ?	G	True
~E & (~B ==> ~D) & J & (~F <=> ~I) & (~F <=> ~I) & (~F <=> ~I) & (J | G) & (~B ==> ~D) & (J | G) & (~I & J) & (~I & J) . What is F ?	~E & (~B ==> ~D) & J & (~F <=> ~I) & (J | G) & (~I & J) . What is F ?	~E & (~B ==> ~D) & J & (~F <=> ~I) & (J | G) & (~I & J)	False
(~I ==> G) & (G ^ A) & (G ^ A) & D & H & (F ^ ~I) & H & (D ^ ~J) & (G ^ A) & H . What is ~A ?	(~I ==> G) & (G ^ A) & D & H & (F ^ ~I) & (D ^ ~J) . What is ~A ?	(~I ==> G) & (G ^ A) & D & H & (F ^ ~I) & (D ^ ~J)	Unknown HELP!
~H & ~H & ~J & (J ==> ~B) & (H | ~C) & ~J & ~J . What is C ?	~H & ~J & (J ==> ~B) & (H | ~C) . What is C ?	~H & ~J & (J ==> ~B) & (H | ~C)	False
(~G <=> C) & (C | J) & B & (C | J) & (J <=> F) & (~H & B) & (~G <=> C) & B & (~G <=> C) & (J <=> F) & G & G . What is ~J ?	(~G <=> C) & (C | J) & B & (J <=> F) & (~H & B) & G . What is ~J ?	(~G <=> C) & (C | J) & B & (J <=> F) & (~H & B) & G	False
(~I & H) & (~G ^ ~I) & (A | ~B) & (~I & H) & ~B & (~G ^ ~I) & (~G ^ ~I) . What is ~G ?	(~I & H) & (~G ^ ~I) & (A | ~B) & ~B . What is ~G ?	(~I & H) & (~G ^ ~I) & (A | ~B) & ~B	False
I & I . What is F ?	I . What is F ?	I	Unknown HELP!
(G ^ ~J) & (G ^ ~J) & F & F & (C ^ D) & C . What is ~D ?	(G ^ ~J) & F & (C ^ D) & C . What is ~D ?	(G ^ ~J) & F & (C ^ D) & C	True
(~A ==> D) & ~D & (~A ==> D) & (~A ==> D) . What is A ?	(~A ==> D) & ~D . What is A ?	(~A ==> D) & ~D	True
(E & A) & (B ^ H) & ~H & ~F & ~F & ~F & (E & A) & (E & A) . What is ~A ?	(E & A) & (B ^ H) & ~H & ~F . What is ~A ?	(E & A) & (B ^ H) & ~H & ~F	False
(~J <=> ~C) & (~J <=> ~C) & (~C | ~A) & (~D & ~J) & (~J <=> ~C) & (~C | ~A) & (~D & ~J) & (~D & ~J) & (~C | ~A) . What is J ?	(~J <=> ~C) & (~C | ~A) & (~D & ~J) . What is J ?	(~J <=> ~C) & (~C | ~A) & (~D & ~J)	False
~I & ~I . What is ~I ?	~I . What is ~I ?	~I	True
~D & ~D & (D | G) & (G & E) & (G & E) & ~D & (G & E) . What is G ?	~D & (D | G) & (G & E) . What is G ?	~D & (D | G) & (G & E)	True
H . What is ~H ?	H . What is ~H ?	H	False
~D & ~D & ~D . What is J ?	~D . What is J ?	~D	Unknown HELP!
~D & (D <=> E) & (D <=> E) & ~D & ~D . What is D ?	~D & (D <=> E) . What is D ?	~D & (D <=> E)	False
B & B . What is C ?	B . What is C ?	B	Unknown HELP!
B & (~B <=> ~A) & B & (~B <=> ~A) & (~B <=> ~A) . What is ~B ?	B & (~B <=> ~A) . What is ~B ?	B & (~B <=> ~A)	False
H & (~A & ~D) & (~A & ~D) & (~A & ~D) . What is A ?	H & (~A & ~D) . What is A ?	H & (~A & ~D)	False
A & A & A . What is ~A ?	A . What is ~A ?	A	False
(~D | A) & (~D | A) & (A ==> ~E) & (A ==> ~E) & (A ==> ~E) . What is H ?	(~D | A) & (A ==> ~E) . What is H ?	(~D | A) & (A ==> ~E)	Unknown HELP!
(~A & E) & (~A & E) & (~A & E) . What is ~E ?	(~A & E) . What is ~E ?	(~A & E)	False
(J ^ D) & (A & G) & J & ~A . What is C ?	(J ^ D) & (A & G) & J & ~A . What is C ?	(J ^ D) & (A & G) & J & ~A	Contradictory
(F & H) & (H | ~B) & (H | ~B) & (H | ~B) . What is F ?	(F & H) & (H | ~B) . What is F ?	(F & H) & (H | ~B)	True
~A & ~A . What is A ?	~A . What is A ?	~A	False
E & E & E . What is ~A ?	E . What is ~A ?	E	Unknown HELP!
J & (A <=> ~E) & (~H <=> J) & (~H <=> J) & (~H <=> J) & A & A & A & (~I ==> ~H) & (~I ==> ~H) . What is ~I ?	J & (A <=> ~E) & (~H <=> J) & A & (~I ==> ~H) . What is ~I ?	J & (A <=> ~E) & (~H <=> J) & A & (~I ==> ~H)	Unknown HELP!
I & (H ==> ~D) & (A & H) & I & (A & H) & (H ==> ~D) & (~B ^ ~E) & (~B ^ ~E) & (~B ^ ~E) . What is H ?	I & (H ==> ~D) & (A & H) & (~B ^ ~E) . What is H ?	I & (H ==> ~D) & (A & H) & (~B ^ ~E)	True
(I ^ ~B) & (G | I) & ~B & (G | I) & F & ~B & (F ==> E) & (~C | G) & (F ==> E) & ~B & (~C | G) & (F ==> E) . What is ~I ?	(I ^ ~B) & (G | I) & ~B & F & (F ==> E) & (~C | G) . What is ~I ?	(I ^ ~B) & (G | I) & ~B & F & (F ==> E) & (~C | G)	True
B & (J & ~G) & B & B . What is ~J ?	B & (J & ~G) . What is ~J ?	B & (J & ~G)	False
~C & ~C & (~E | B) & ~I & (~E | B) & (D ^ ~J) & (D ^ ~J) & ~I & (~E | B) . What is C ?	~C & (~E | B) & ~I & (D ^ ~J) . What is C ?	~C & (~E | B) & ~I & (D ^ ~J)	False
(~J <=> ~H) & (~D <=> ~J) & (~D <=> ~J) & (~B ^ ~D) . What is H ?	(~J <=> ~H) & (~D <=> ~J) & (~B ^ ~D) . What is H ?	(~J <=> ~H) & (~D <=> ~J) & (~B ^ ~D)	Unknown HELP!
~A & ~A . What is F ?	~A . What is F ?	~A	Unknown HELP!
(~F | G) & (~F | G) & E & (~F | G) & (E | ~B) & C & (E | ~B) & E & C & C & E . What is ~E ?	(~F | G) & E & (E | ~B) & C . What is ~E ?	(~F | G) & E & (E | ~B) & C	False
(G ==> I) & ~G & ~G & (~D ^ G) & (G ==> I) & (~B & ~D) . What is ~D ?	(G ==> I) & ~G & (~D ^ G) & (~B & ~D) . What is ~D ?	(G ==> I) & ~G & (~D ^ G) & (~B & ~D)	True
I & I & H & (C & I) & (D | J) & I & (E & C) & (E & C) & (~A <=> E) . What is ~A ?	I & H & (C & I) & (D | J) & (E & C) & (~A <=> E) . What is ~A ?	I & H & (C & I) & (D | J) & (E & C) & (~A <=> E)	True
~G & ~G . What is G ?	~G . What is G ?	~G	False
B & (G ^ B) & (G ^ B) & (~A ==> ~D) & A & A & B & (~A ==> ~D) & B . What is B ?	B & (G ^ B) & (~A ==> ~D) & A . What is B ?	B & (G ^ B) & (~A ==> ~D) & A	True
(I ^ ~C) & (I ^ ~C) & (I ^ ~C) & ~B . What is ~B ?	(I ^ ~C) & ~B . What is ~B ?	(I ^ ~C) & ~B	True
C & C & (C <=> ~A) & ~J & (H & ~J) & ~J & (~E <=> C) & (~E <=> C) & (C <=> ~A) & (C <=> ~A) . What is A ?	C & (C <=> ~A) & ~J & (H & ~J) & (~E <=> C) . What is A ?	C & (C <=> ~A) & ~J & (H & ~J) & (~E <=> C)	False
~H & ~H & ~H . What is B ?	~H . What is B ?	~H	Unknown HELP!
~C & (C & G) & ~C . What is F ?	~C & (C & G) . What is F ?	~C & (C & G)	Contradictory
~J & ~J . What is ~J ?	~J . What is ~J ?	~J	True
~F & (~D | E) & (H <=> ~F) & ~J & (G & ~D) & (G & ~D) & ~F & (G & ~D) & ~J & (~D | E) . What is D ?	~F & (~D | E) & (H <=> ~F) & ~J & (G & ~D) . What is D ?	~F & (~D | E) & (H <=> ~F) & ~J & (G & ~D)	False
~I & ~I & (~A | D) & ~I & (D & ~E) . What is ~D ?	~I & (~A | D) & (D & ~E) . What is ~D ?	~I & (~A | D) & (D & ~E)	False
(J & ~H) & (B | J) & (A & ~D) & (B | J) & A & (~H | ~E) & (~H | ~E) & (~H | ~E) . What is H ?	(J & ~H) & (B | J) & (A & ~D) & A & (~H | ~E) . What is H ?	(J & ~H) & (B | J) & (A & ~D) & A & (~H | ~E)	False
~B & (F ==> ~E) & (~B | F) & (~B | F) . What is ~F ?	~B & (F ==> ~E) & (~B | F) . What is ~F ?	~B & (F ==> ~E) & (~B | F)	Unknown HELP!
~H . What is H ?	~H . What is H ?	~H	False
(~F ^ ~C) & ~C & (~C & ~G) & (~C & ~G) & (~C & ~G) . What is ~F ?	(~F ^ ~C) & ~C & (~C & ~G) . What is ~F ?	(~F ^ ~C) & ~C & (~C & ~G)	False
F & F & F . What is ~F ?	F . What is ~F ?	F	False
(B | ~F) & ~D & (B | ~F) & ~J & (~F | ~D) & (B | ~F) & (~F | ~D) & (E & J) & ~D . What is B ?	(B | ~F) & ~D & ~J & (~F | ~D) & (E & J) . What is B ?	(B | ~F) & ~D & ~J & (~F | ~D) & (E & J)	Contradictory
(F ^ ~B) & ~E & (A | ~C) & (A | ~C) & (A | ~C) & ~E & (~D ==> F) & (F ^ ~B) & ~B . What is ~B ?	(F ^ ~B) & ~E & (A | ~C) & (~D ==> F) & ~B . What is ~B ?	(F ^ ~B) & ~E & (A | ~C) & (~D ==> F) & ~B	True
(A | ~D) & (G <=> ~H) & (~D <=> G) & ~B & (G <=> ~H) & ~B & (~D <=> G) & ~B . What is A ?	(A | ~D) & (G <=> ~H) & (~D <=> G) & ~B . What is A ?	(A | ~D) & (G <=> ~H) & (~D <=> G) & ~B	Unknown HELP!
(~G & ~C) & (~G & ~C) & (A & ~G) & (F ^ A) & (F ^ A) & (F ^ A) & F & (A & ~G) & (A & ~G) & F . What is A ?	(~G & ~C) & (A & ~G) & (F ^ A) & F . What is A ?	(~G & ~C) & (A & ~G) & (F ^ A) & F	Contradictory
(~I ==> A) & (E <=> ~G) & ~E & (~I ==> A) & (~G ^ ~I) & (~I ==> A) & (~G ^ ~I) . What is ~I ?	(~I ==> A) & (E <=> ~G) & ~E & (~G ^ ~I) . What is ~I ?	(~I ==> A) & (E <=> ~G) & ~E & (~G ^ ~I)	True
A & (~A | H) & (~A | H) & (J & E) & (~A | H) & (~G ^ D) & (~G ^ D) & G & (~G ^ D) & (E ^ ~A) & (E ^ ~A) . What is A ?	A & (~A | H) & (J & E) & (~G ^ D) & G & (E ^ ~A) . What is A ?	A & (~A | H) & (J & E) & (~G ^ D) & G & (E ^ ~A)	True
(~I | H) & ~H & ~H & (E | ~I) & (E | ~I) . What is H ?	(~I | H) & ~H & (E | ~I) . What is H ?	(~I | H) & ~H & (E | ~I)	False
H & (~E & F) & (D <=> ~E) & H & (D <=> ~E) & (D <=> ~E) & (~E & F) . What is ~E ?	H & (~E & F) & (D <=> ~E) . What is ~E ?	H & (~E & F) & (D <=> ~E)	True
(~E <=> G) & ~E & (I & ~E) & (~F ==> J) & ~E & (I & ~E) & ~J & ~E & ~J & ~J & (~F ==> J) . What is I ?	(~E <=> G) & ~E & (I & ~E) & (~F ==> J) & ~J . What is I ?	(~E <=> G) & ~E & (I & ~E) & (~F ==> J) & ~J	True
~C & (~C <=> B) & (~C <=> B) & ~C & ~C . What is ~B ?	~C & (~C <=> B) . What is ~B ?	~C & (~C <=> B)	False
~J & ~J . What is ~J ?	~J . What is ~J ?	~J	True
C & (B & D) & C & C & (B & D) & (D | F) & (H ==> G) & (H ==> G) & (H ==> G) . What is D ?	C & (B & D) & (D | F) & (H ==> G) . What is D ?	C & (B & D) & (D | F) & (H ==> G)	True
H & H & D & (E | ~C) & (~F <=> ~J) & (E | ~C) & (~C & ~F) & D & (H <=> B) & (~F <=> ~J) & (E | ~C) . What is D ?	H & D & (E | ~C) & (~F <=> ~J) & (~C & ~F) & (H <=> B) . What is D ?	H & D & (E | ~C) & (~F <=> ~J) & (~C & ~F) & (H <=> B)	True
(~D <=> A) & (~D <=> A) & (~I ==> ~D) & (~I ==> ~D) & A . What is D ?	(~D <=> A) & (~I ==> ~D) & A . What is D ?	(~D <=> A) & (~I ==> ~D) & A	False
(~G & E) & (~G & E) . What is G ?	(~G & E) . What is G ?	(~G & E)	False
E & E . What is E ?	E . What is E ?	E	True
G . What is ~A ?	G . What is ~A ?	G	Unknown HELP!
C & (H ==> A) & (A & I) & (C <=> H) & C & (A & I) & (A & I) & C & (H ==> A) & (H ==> A) . What is I ?	C & (H ==> A) & (A & I) & (C <=> H) . What is I ?	C & (H ==> A) & (A & I) & (C <=> H)	True
(~H ==> D) & E & (~B ==> I) & A & A & E & E & (I & ~H) & (I & ~H) & (~H ==> D) & (~F <=> A) & (I & ~H) . What is ~H ?	(~H ==> D) & E & (~B ==> I) & A & (I & ~H) & (~F <=> A) . What is ~H ?	(~H ==> D) & E & (~B ==> I) & A & (I & ~H) & (~F <=> A)	True
D & D & D . What is ~D ?	D . What is ~D ?	D	False
(~G & I) & (F <=> B) & (E ^ ~G) & ~A & ~E & ~A & ~E & (E ^ ~G) & ~E . What is I ?	(~G & I) & (F <=> B) & (E ^ ~G) & ~A & ~E . What is I ?	(~G & I) & (F <=> B) & (E ^ ~G) & ~A & ~E	True
(~C ==> ~G) & (~J | ~I) & (~C ==> ~G) & (~J | ~I) & (E & ~F) & D & (~F & ~C) & (~J | ~I) & (E & ~F) & C & C & (~C ==> ~G) & (E & ~F) . What is ~A ?	(~C ==> ~G) & (~J | ~I) & (E & ~F) & D & (~F & ~C) & C . What is ~A ?	(~C ==> ~G) & (~J | ~I) & (E & ~F) & D & (~F & ~C) & C	Contradictory
(H & E) & (~C & H) & (~C & H) & (H & E) & E & E & (~C & H) . What is H ?	(H & E) & (~C & H) & E . What is H ?	(H & E) & (~C & H) & E	True
~B & ~B & ~B . What is ~B ?	~B . What is ~B ?	~B	True
(~E ^ D) & (B ^ ~G) & (~F & ~E) & ~A & ~A & ~A & (B ^ ~G) . What is ~D ?	(~E ^ D) & (B ^ ~G) & (~F & ~E) & ~A . What is ~D ?	(~E ^ D) & (B ^ ~G) & (~F & ~E) & ~A	True
F & F & (~G <=> I) & (~G <=> I) & (~G <=> I) & F . What is ~F ?	F & (~G <=> I) . What is ~F ?	F & (~G <=> I)	False
~C . What is C ?	~C . What is C ?	~C	False
(~I <=> H) & ~I & D & (~I <=> H) & (F | ~I) & ~I & (~D <=> G) & (A <=> F) & (A <=> F) . What is F ?	(~I <=> H) & ~I & D & (F | ~I) & (~D <=> G) & (A <=> F) . What is F ?	(~I <=> H) & ~I & D & (F | ~I) & (~D <=> G) & (A <=> F)	Unknown HELP!
(F & J) & (F & J) . What is F ?	(F & J) . What is F ?	(F & J)	True
~C . What is C ?	~C . What is C ?	~C	False
(J ==> G) & (J ==> G) & ~G & (~D <=> J) & (G ^ A) & (~D <=> J) & (~D <=> J) . What is A ?	(J ==> G) & ~G & (~D <=> J) & (G ^ A) . What is A ?	(J ==> G) & ~G & (~D <=> J) & (G ^ A)	True
D & D & D . What is ~D ?	D . What is ~D ?	D	False
~B & ~B & (H ^ ~B) & (H ^ ~B) . What is H ?	~B & (H ^ ~B) . What is H ?	~B & (H ^ ~B)	False
(~I | ~B) & (~B & F) & (~B & F) & (~B & F) . What is F ?	(~I | ~B) & (~B & F) . What is F ?	(~I | ~B) & (~B & F)	True
B & B & B . What is B ?	B . What is B ?	B	True
(~G ==> C) & (H ^ ~G) & ~F & ~F & ~F & (H ^ ~G) . What is F ?	(~G ==> C) & (H ^ ~G) & ~F . What is F ?	(~G ==> C) & (H ^ ~G) & ~F	False
(A ==> ~B) & (~I & A) & (~I & A) & B & (~I & A) & (~J ==> ~I) & B . What is ~A ?	(A ==> ~B) & (~I & A) & B & (~J ==> ~I) . What is ~A ?	(A ==> ~B) & (~I & A) & B & (~J ==> ~I)	Contradictory
(B | ~E) & E & E & (~D <=> B) & (B | ~E) & (~I ==> A) & (~D <=> B) & I & I . What is ~D ?	(B | ~E) & E & (~D <=> B) & (~I ==> A) & I . What is ~D ?	(B | ~E) & E & (~D <=> B) & (~I ==> A) & I	True
(~I ==> C) & (~G <=> A) & (A & ~I) & (A & ~I) & (A & ~I) . What is C ?	(~I ==> C) & (~G <=> A) & (A & ~I) . What is C ?	(~I ==> C) & (~G <=> A) & (A & ~I)	True
(~F ^ ~C) & ~H & (~C ^ ~H) & ~H . What is F ?	(~F ^ ~C) & ~H & (~C ^ ~H) . What is F ?	(~F ^ ~C) & ~H & (~C ^ ~H)	False
(~C ^ H) & (~C ^ H) & (H & G) & (H & G) & (~C ^ H) & (H & G) . What is ~G ?	(~C ^ H) & (H & G) . What is ~G ?	(~C ^ H) & (H & G)	False
I & I . What is I ?	I . What is I ?	I	True
~C . What is C ?	~C . What is C ?	~C	False
(~F ^ ~E) & (~F ^ ~E) & (~F ^ ~E) . What is H ?	(~F ^ ~E) . What is H ?	(~F ^ ~E)	Unknown HELP!
~B . What is B ?	~B . What is B ?	~B	False
~B & (J & G) & (J & G) & (J & G) & (E <=> J) & (E <=> J) & (G ==> ~H) & (E <=> J) & (G ==> ~H) . What is ~G ?	~B & (J & G) & (E <=> J) & (G ==> ~H) . What is ~G ?	~B & (J & G) & (E <=> J) & (G ==> ~H)	False
~G & ~G & (D & ~A) & (D & ~A) . What is A ?	~G & (D & ~A) . What is A ?	~G & (D & ~A)	False
~B & ~B & (B <=> H) . What is H ?	~B & (B <=> H) . What is H ?	~B & (B <=> H)	False
E & E & E . What is E ?	E . What is E ?	E	True
~B . What is B ?	~B . What is B ?	~B	False
~D & A & (~I ^ ~H) & A & (J ==> G) & (F | ~A) & (J ==> G) & (~I ^ ~H) & (~H ^ F) & (~H ^ F) & (~I ^ ~H) & (~H ^ F) . What is ~A ?	~D & A & (~I ^ ~H) & (J ==> G) & (F | ~A) & (~H ^ F) . What is ~A ?	~D & A & (~I ^ ~H) & (J ==> G) & (F | ~A) & (~H ^ F)	False
~H & ~H . What is H ?	~H . What is H ?	~H	False
(E ==> I) & D & (~B & D) & (D ==> E) & (~B & D) . What is ~D ?	(E ==> I) & D & (~B & D) & (D ==> E) . What is ~D ?	(E ==> I) & D & (~B & D) & (D ==> E)	False
A & (F <=> ~E) & (~E ==> ~A) & (F <=> ~E) & (~E ==> ~A) & (~E ==> ~A) . What is F ?	A & (F <=> ~E) & (~E ==> ~A) . What is F ?	A & (F <=> ~E) & (~E ==> ~A)	False
(~G ^ B) & (H & I) & (H & I) & (~G ^ B) & (B <=> H) & (B <=> H) & (B <=> H) & (~G ^ B) . What is I ?	(~G ^ B) & (H & I) & (B <=> H) . What is I ?	(~G ^ B) & (H & I) & (B <=> H)	True
(J ^ ~H) & (J ^ ~H) . What is H ?	(J ^ ~H) . What is H ?	(J ^ ~H)	Unknown HELP!
(F | G) & (F | G) & (F | G) & ~F & ~F & ~F . What is G ?	(F | G) & ~F . What is G ?	(F | G) & ~F	True
F & (D & F) & F & (D & F) & F & (~E & D) & (~E & D) . What is ~F ?	F & (D & F) & (~E & D) . What is ~F ?	F & (D & F) & (~E & D)	False
E & E . What is E ?	E . What is E ?	E	True
F & (I | A) & (~J ^ H) & (H ^ ~G) & ~A & F & (~G ==> ~F) & ~A & ~A & F & (~G ==> ~F) . What is J ?	F & (I | A) & (~J ^ H) & (H ^ ~G) & ~A & (~G ==> ~F) . What is J ?	F & (I | A) & (~J ^ H) & (H ^ ~G) & ~A & (~G ==> ~F)	True
(~A & ~D) & G & (~A & ~D) & (~F ==> ~B) & G & G & (~B | ~A) & (~F ==> ~B) & (~F ==> ~B) & (~B | ~A) & (~B | ~A) . What is D ?	(~A & ~D) & G & (~F ==> ~B) & (~B | ~A) . What is D ?	(~A & ~D) & G & (~F ==> ~B) & (~B | ~A)	False
D & D & D . What is ~D ?	D . What is ~D ?	D	False
~C & (I & ~J) & (~A | ~F) & ~C & ~E . What is I ?	~C & (I & ~J) & (~A | ~F) & ~E . What is I ?	~C & (I & ~J) & (~A | ~F) & ~E	True
(H <=> ~A) & (~A & E) & ~B & (D <=> H) & ~B & (H <=> ~A) & (~A & E) & (D <=> H) . What is H ?	(H <=> ~A) & (~A & E) & ~B & (D <=> H) . What is H ?	(H <=> ~A) & (~A & E) & ~B & (D <=> H)	True
~E & ~E & ~E . What is ~F ?	~E . What is ~F ?	~E	Unknown HELP!
(~F | ~C) & I & (~I ^ ~G) & (~G | ~F) & (~F | ~C) & (~G | ~F) & J & I & I & (J & D) & (J & D) & (J & D) . What is ~G ?	(~F | ~C) & I & (~I ^ ~G) & (~G | ~F) & J & (J & D) . What is ~G ?	(~F | ~C) & I & (~I ^ ~G) & (~G | ~F) & J & (J & D)	True
(~D & G) & ~C & ~C & (~D & G) & ~C . What is ~C ?	(~D & G) & ~C . What is ~C ?	(~D & G) & ~C	True
(~G ==> ~A) & (~C ^ D) & (~C ^ D) & (~A & E) & (~A & E) & D & D . What is A ?	(~G ==> ~A) & (~C ^ D) & (~A & E) & D . What is A ?	(~G ==> ~A) & (~C ^ D) & (~A & E) & D	False
~A & (~C | ~J) & ~A & (E ==> ~I) & ~F & (~I ^ ~C) & (H ^ ~F) & (E ==> ~I) & (H ^ ~F) & (~C | ~J) & (E ==> ~I) & (~C | ~J) . What is ~A ?	~A & (~C | ~J) & (E ==> ~I) & ~F & (~I ^ ~C) & (H ^ ~F) . What is ~A ?	~A & (~C | ~J) & (E ==> ~I) & ~F & (~I ^ ~C) & (H ^ ~F)	True
~J & ~J & ~J . What is ~J ?	~J . What is ~J ?	~J	True
~H & (H & ~F) & (~D <=> ~B) & (~I ^ A) & (A & ~D) & (A & ~D) & (H & ~F) & (~I ^ A) & (~I ^ A) & C & C & C . What is C ?	~H & (H & ~F) & (~D <=> ~B) & (~I ^ A) & (A & ~D) & C . What is C ?	~H & (H & ~F) & (~D <=> ~B) & (~I ^ A) & (A & ~D) & C	Contradictory
(~J <=> E) & ~F & G & (~H & ~I) & ~F & ~F . What is G ?	(~J <=> E) & ~F & G & (~H & ~I) . What is G ?	(~J <=> E) & ~F & G & (~H & ~I)	True
~H & (~D <=> ~J) & ~A & (G | ~A) & (~J ==> ~B) & (~B & ~E) & ~H & ~H & (~B & ~E) & ~A . What is E ?	~H & (~D <=> ~J) & ~A & (G | ~A) & (~J ==> ~B) & (~B & ~E) . What is E ?	~H & (~D <=> ~J) & ~A & (G | ~A) & (~J ==> ~B) & (~B & ~E)	False
(~E & H) & H & H & D & D & (~E & H) & (I ^ C) & D & (~E & H) . What is D ?	(~E & H) & H & D & (I ^ C) . What is D ?	(~E & H) & H & D & (I ^ C)	True
~C & E & E & (H ^ ~J) & (~I | ~E) & (F | ~D) & (~D & H) & ~C & (~I | ~E) & (F | ~D) & ~C & E & (~D & H) & (F | ~D) & (~I | ~E) . What is D ?	~C & E & (H ^ ~J) & (~I | ~E) & (F | ~D) & (~D & H) . What is D ?	~C & E & (H ^ ~J) & (~I | ~E) & (F | ~D) & (~D & H)	False
